,Date,ID,URL,Username,Source,Location,text,Num_Of_Likes,Num_Of_Retwwet
0,2023-01-07 23:44:33+00:00,1.61187E+18,https://twitter.com/angkasareview/status/1611871443457040385,angkasareview,Twitter Web App,"Jakarta, Indonesia","Ini dia, pesawat tertua di armada Singapore Airlines

https://t.co/Ypl1E2NDVx https://t.co/87nnPs5M0s",7,1
1,2023-01-07 23:31:26+00:00,1.61187E+18,https://twitter.com/AkshayR05/status/1611868140148858880,AkshayR05,Twitter Web App,,"@Lufthansa_USA @lufthansaNews 
Hi team any updates on my refund application? It's been more than 3 months and still my application is under review. Never faced such a  bad airlines experience. Please can you look into this as a matter of urgency.",1,1
2,2023-01-07 21:26:15+00:00,1.61184E+18,https://twitter.com/IRAOwnersManual/status/1611836637805252611,IRAOwnersManual,IRAOM PFShare,In the kitchen junk drawer,Review: American Airlines Business Class 777-200 - NYC to Buenos Aires #PFshare via @APurpleLifeBlog https://t.co/6zZSSPquft,0,0
3,2023-01-07 21:17:27+00:00,1.61183E+18,https://twitter.com/TheReviewPicker/status/1611834424454414336,TheReviewPicker,Twitter for iPhone,🇮🇳🇺🇸,"@airindiain Honestly this is very unfortunate experience. Don't be guilty @airindiain it's always about bad passengers not about airlines,Criticism on services is fine but this incidence can happen with anyone on any flight,keeping control on self is the ",0,0
4,2023-01-07 20:42:32+00:00,1.61183E+18,https://twitter.com/EthiopiaOnline/status/1611825635244244992,EthiopiaOnline,Twitter for iPhone,United States | Ethiopia,Brother of Ethiopian Airlines plane crash victim to aid review of Boeing safety practices - @globeandmail | #Ethiopia | https://t.co/gcEWkR1RH7,0,0
5,2023-01-07 20:29:39+00:00,1.61182E+18,https://twitter.com/as803/status/1611822394477514756,as803,Twitter for Android,"New Delhi, Delhi",@chitraaum Time has come for airlines to review their liquor policy for international flights.,0,0
6,2023-01-07 17:40:09+00:00,1.61178E+18,https://twitter.com/flightwit/status/1611779737965264897,flightwit,SocialOomph,800 332-7359 • Get free app at,Why Is It Amazon Editors' Favorite Book? Read the reviews https://t.co/rNzhVQWhXD #IARTG #travel #airlines https://t.co/ULoEwUmr0u,0,0
7,2023-01-07 16:41:20+00:00,1.61176E+18,https://twitter.com/msnindia/status/1611764937688506374,msnindia,OxfordBlue-Twitter,India,"Air India urination case: Pilot, four crew members de-rostered; airline to review alcohol policy https://t.co/sMERVPlJvj",1,0
8,2023-01-07 14:20:43+00:00,1.61173E+18,https://twitter.com/ArtiSharma001/status/1611729547443208192,ArtiSharma001,Twitter for Android,INDIA/ BHARAT.,"Dr @Swamy39
Air India urination case: Pilot, four crew members de-rostered; airline to review alcohol policy🍁🍁
@jagdishshetty
 https://t.co/YtnOMaE6B1",0,0
9,2023-01-07 14:02:47+00:00,1.61173E+18,https://twitter.com/KAYAK/status/1611725037228232706,KAYAK,Meltwater Social,,"@LiebMaggie Unfortunately the airline misinformed you, KAYAK isn't a booking agency we don't have access/ insight into bookings. For assistance you can reach out to the company you booked with, which you can review on the booking confirmation or within yo",0,0
10,2023-01-07 13:46:04+00:00,1.61172E+18,https://twitter.com/BlankenshipFP/status/1611720830139908097,BlankenshipFP,PFshare,"New Berlin, Illinois",Review: American Airlines Business Class 777-200 - Buenos Aires to NYC #PFshare via @APurpleLifeBlog https://t.co/QXIaVTlMqx,0,0
11,2023-01-07 12:33:09+00:00,1.6117E+18,https://twitter.com/Glazerxx/status/1611702477811863553,Glazerxx,Twitter for iPhone,My bedroom-World Headquaters,"Air France is def the worst European airline. Don’t even get me started with the useless CDG airport. 

For all the poor online review they receive: Air Maroc and Air Egypt are way better than the useless AF.",0,0
12,2023-01-07 12:05:05+00:00,1.6117E+18,https://twitter.com/politicshome/status/1611695416248078336,politicshome,threadcreator.com,"Westminster, London","💡 Professor Catherine Barnard of Cambridge Uni said it's not just the sheer number of laws under review that is challenging, but the important areas covered

✈️ “They cover things as fundamental as food safety and airline safety, not to mention workers’ and environmental rights""",16,7
13,2023-01-07 11:43:01+00:00,1.61169E+18,https://twitter.com/Dailyvruttmitra/status/1611689859877580800,Dailyvruttmitra,Twitter for Android,"Mumbai, India","8)Air India CEO apologises for urinating incident; crew, pilot de-rostered. Shankar Mishra sent to 14-day judicial custody. Air India to review airline policy on service of alcohol in flight.  3 crew members record statement before Delhi Police.",0,0
14,2023-01-07 11:15:39+00:00,1.61168E+18,https://twitter.com/GinaMoo63047692/status/1611682975661309952,GinaMoo63047692,Twitter Web App,,# Shares soar almost 10 despite Australian airline reporting 700mn annual losses for third year 🥚🍲🍐🍳🥚🍤🥕🌽🍌🍉🍒🍈🥑🍇🍓🍐🥨🍎🍳🥚🥨🥩Competition and Markets Authority to conduct urgent review of how prices are set at the pump,0,0
15,2023-01-07 10:49:23+00:00,1.61168E+18,https://twitter.com/adampayne26/status/1611676364192763905,adampayne26,Twitter Web App,North London via Cumbria,"Catherine Barnard, professor of EU law at Cambridge Uni, said it's not just about the sheer volume of laws under review, but the important areas they impact

""They cover things as fundamental as food safety and airline safety, not to mention workers’ and environmental rights""",182,68
16,2023-01-07 10:30:00+00:00,1.61167E+18,https://twitter.com/TimesNow/status/1611671488297312256,TimesNow,TweetDeck,India,"#AirIndia urination case: Pilot, four crew members de-rostered; airline to review alcohol policy 

https://t.co/c9eBS856sh",5,2
17,2023-01-07 09:21:24+00:00,1.61165E+18,https://twitter.com/angkasareview/status/1611654221778292741,angkasareview,Twitter Web App,"Jakarta, Indonesia",Which airline has the best service? https://t.co/MZAKHerONs,39,4
18,2023-01-07 09:05:43+00:00,1.61165E+18,https://twitter.com/nitishshekhawa1/status/1611650277496557570,nitishshekhawa1,IFTTT,"Jaipur, India","Air India urinating incident: Four cabin crew, pilot de-rostered; Airline reviews alcohol policy 
    
        Facing backlash for the handling of the incident, CEO Campbell Wilson said the airline could have handled the issue better and promised a robust reporting system of… https://t.co/YMeUqAu3bE",0,0
19,2023-01-07 08:46:21+00:00,1.61165E+18,https://twitter.com/OhioPB123/status/1611645402456915968,OhioPB123,Twitter for iPhone,,"@jmculling so, next time you review your super status with an airline, remember that when you’re not with us traveling on @delta, our seats will never be guaranteed &amp; we’ll be invisible. Only your comfort matters to them",0,0
20,2023-01-07 08:43:49+00:00,1.61164E+18,https://twitter.com/FinancialXpress/status/1611644764423872512,FinancialXpress,TweetDeck,India,"#AirIndia incident: Airline reviews #alcohol policy amid backlash; crew, pilot grounded

https://t.co/EdAfUChqog",2,0
